Date,Origin,Dest,fled
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Missan,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Ninewa,0
4/10/2015,Erbil,Wassit,0
4/10/2015,Erbil,Wassit,0
4/10/2015,Erbil,Wassit,0
4/10/2015,Erbil,Wassit,0
4/10/2015,Erbil,Wassit,0
4/10/2015,Erbil,Najaf,0
4/10/2015,Erbil,Najaf,0
4/10/2015,Erbil,Najaf,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Erbil,Salahal Din,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Baghdad,1
4/10/2015,Kirkuk,Baghdad,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Anbar,0
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Basrah,7
4/10/2015,Kirkuk,Basrah,0
4/10/2015,Kirkuk,Muthanna,7
4/10/2015,Kirkuk,Muthanna,0
4/10/2015,Kirkuk,Muthanna,0
4/10/2015,Kirkuk,Qadissiya,0
4/10/2015,Kirkuk,Qadissiya,0
4/10/2015,Kirkuk,Qadissiya,0
4/10/2015,Kirkuk,Qadissiya,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Sulaymaniyah,0
4/10/2015,Kirkuk,Babylon,0
4/10/2015,Kirkuk,Babylon,0
4/10/2015,Kirkuk,Babylon,0
4/10/2015,Kirkuk,Babylon,0
4/10/2015,Kirkuk,Dahuk,0
4/10/2015,Kirkuk,Dahuk,0
4/10/2015,Kirkuk,Dahuk,0
4/10/2015,Kirkuk,Dahuk,0
4/10/2015,Kirkuk,Thi Qar,0
4/10/2015,Kirkuk,Thi Qar,0
4/10/2015,Kirkuk,Thi Qar,15
4/10/2015,Kirkuk,Thi Qar,0
4/10/2015,Kirkuk,Thi Qar,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Diyala,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Kirkuk,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Erbil,0
4/10/2015,Kirkuk,Kerbala,0
4/10/2015,Kirkuk,Kerbala,0
4/10/2015,Kirkuk,Kerbala,0
4/10/2015,Kirkuk,Kirkuk,0
4/10/2015,Kirkuk,Kirkuk,0
4/10/2015,Kirkuk,Kirkuk,0
4/10/2015,Kirkuk,Missan,0
4/10/2015,Kirkuk,Missan,0
4/10/2015,Kirkuk,Missan,0
4/10/2015,Kirkuk,Missan,1
4/10/2015,Kirkuk,Missan,0
4/10/2015,Kirkuk,Missan,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Ninewa,0
4/10/2015,Kirkuk,Wassit,0
4/10/2015,Kirkuk,Wassit,0
4/10/2015,Kirkuk,Wassit,0
4/10/2015,Kirkuk,Wassit,1
4/10/2015,Kirkuk,Wassit,0
4/10/2015,Kirkuk,Najaf,15
4/10/2015,Kirkuk,Najaf,0
4/10/2015,Kirkuk,Najaf,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Kirkuk,Salahal Din,0
4/10/2015,Ninewa,Baghdad,0
4/10/2015,Ninewa,Baghdad,0
4/10/2015,Ninewa,Baghdad,26
4/10/2015,Ninewa,Baghdad,45
4/10/2015,Ninewa,Baghdad,163
4/10/2015,Ninewa,Baghdad,0
4/10/2015,Ninewa,Baghdad,0
4/10/2015,Ninewa,Baghdad,2
4/10/2015,Ninewa,Baghdad,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Anbar,0
4/10/2015,Ninewa,Basrah,2
4/10/2015,Ninewa,Basrah,15
4/10/2015,Ninewa,Basrah,0
4/10/2015,Ninewa,Basrah,9
4/10/2015,Ninewa,Basrah,0
4/10/2015,Ninewa,Basrah,6
4/10/2015,Ninewa,Basrah,0
4/10/2015,Ninewa,Muthanna,441
4/10/2015,Ninewa,Muthanna,0
4/10/2015,Ninewa,Muthanna,0
4/10/2015,Ninewa,Qadissiya,0
4/10/2015,Ninewa,Qadissiya,30
4/10/2015,Ninewa,Qadissiya,15
4/10/2015,Ninewa,Qadissiya,27
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,2
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,3
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Sulaymaniyah,0
4/10/2015,Ninewa,Babylon,0
4/10/2015,Ninewa,Babylon,0
4/10/2015,Ninewa,Babylon,52
4/10/2015,Ninewa,Babylon,35
4/10/2015,Ninewa,Dahuk,70
4/10/2015,Ninewa,Dahuk,0
4/10/2015,Ninewa,Dahuk,900
4/10/2015,Ninewa,Dahuk,0
4/10/2015,Ninewa,Thi Qar,0
4/10/2015,Ninewa,Thi Qar,0
4/10/2015,Ninewa,Thi Qar,19
4/10/2015,Ninewa,Thi Qar,0
4/10/2015,Ninewa,Thi Qar,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Diyala,0
4/10/2015,Ninewa,Erbil,0
4/10/2015,Ninewa,Erbil,165
4/10/2015,Ninewa,Erbil,0
4/10/2015,Ninewa,Kirkuk,0
4/10/2015,Ninewa,Erbil,0
4/10/2015,Ninewa,Erbil,0
4/10/2015,Ninewa,Erbil,0
4/10/2015,Ninewa,Kerbala,0
