,Date,Origin,Dest,fled
4713,2015-05-21,Kirkuk,Sulaymaniyah,0
4707,2015-05-21,Kirkuk,Missan,0
4750,2015-05-21,Salahal Din,Thi Qar,4
4698,2015-05-21,Kirkuk,Anbar,0
4696,2015-05-21,Erbil,Thi Qar,0
4681,2015-05-21,Erbil,Babylon,0
4682,2015-05-21,Erbil,Baghdad,0
4683,2015-05-21,Erbil,Basrah,0
4684,2015-05-21,Erbil,Dahuk,0
4685,2015-05-21,Erbil,Diyala,0
4686,2015-05-21,Erbil,Erbil,0
4697,2015-05-21,Erbil,Wassit,0
4687,2015-05-21,Erbil,Kerbala,0
4689,2015-05-21,Erbil,Missan,0
4690,2015-05-21,Erbil,Muthanna,0
4691,2015-05-21,Erbil,Najaf,0
4692,2015-05-21,Erbil,Ninewa,0
4693,2015-05-21,Erbil,Qadissiya,0
4694,2015-05-21,Erbil,Salahal Din,0
4688,2015-05-21,Erbil,Kirkuk,0
4715,2015-05-21,Kirkuk,Wassit,0
4716,2015-05-21,Ninewa,Anbar,0
4717,2015-05-21,Ninewa,Babylon,73
4737,2015-05-21,Salahal Din,Basrah,1
4738,2015-05-21,Salahal Din,Dahuk,41
4739,2015-05-21,Salahal Din,Diyala,0
4740,2015-05-21,Salahal Din,Erbil,0
4741,2015-05-21,Salahal Din,Kerbala,2
4742,2015-05-21,Salahal Din,Kirkuk,0
4736,2015-05-21,Salahal Din,Baghdad,769
4743,2015-05-21,Salahal Din,Missan,0
4745,2015-05-21,Salahal Din,Najaf,0
4746,2015-05-21,Salahal Din,Ninewa,0
4747,2015-05-21,Salahal Din,Qadissiya,11
4748,2015-05-21,Salahal Din,Salahal Din,2100
4749,2015-05-21,Salahal Din,Sulaymaniyah,140
4751,2015-05-21,Salahal Din,Wassit,0
4744,2015-05-21,Salahal Din,Muthanna,0
4735,2015-05-21,Salahal Din,Babylon,8
4734,2015-05-21,Salahal Din,Anbar,0
4733,2015-05-21,Ninewa,Wassit,118
4718,2015-05-21,Ninewa,Baghdad,342
4719,2015-05-21,Ninewa,Basrah,9
4720,2015-05-21,Ninewa,Dahuk,367
4721,2015-05-21,Ninewa,Diyala,0
4722,2015-05-21,Ninewa,Erbil,0
4723,2015-05-21,Ninewa,Kerbala,381
4724,2015-05-21,Ninewa,Kirkuk,0
4725,2015-05-21,Ninewa,Missan,0
4726,2015-05-21,Ninewa,Muthanna,0
4727,2015-05-21,Ninewa,Najaf,19
4728,2015-05-21,Ninewa,Ninewa,582
4729,2015-05-21,Ninewa,Qadissiya,100
4730,2015-05-21,Ninewa,Salahal Din,0
4731,2015-05-21,Ninewa,Sulaymaniyah,0
4732,2015-05-21,Ninewa,Thi Qar,5
4680,2015-05-21,Erbil,Anbar,0
4679,2015-05-21,Diyala,Wassit,0
4695,2015-05-21,Erbil,Sulaymaniyah,0
4677,2015-05-21,Diyala,Sulaymaniyah,0
4627,2015-05-21,Babylon,Babylon,0
4628,2015-05-21,Babylon,Baghdad,0
4629,2015-05-21,Babylon,Basrah,1
4630,2015-05-21,Babylon,Dahuk,0
4631,2015-05-21,Babylon,Diyala,0
4632,2015-05-21,Babylon,Erbil,0
4678,2015-05-21,Diyala,Thi Qar,0
4633,2015-05-21,Babylon,Kerbala,0
4635,2015-05-21,Babylon,Missan,0
4636,2015-05-21,Babylon,Muthanna,0
4637,2015-05-21,Babylon,Najaf,0
4638,2015-05-21,Babylon,Ninewa,0
4639,2015-05-21,Babylon,Qadissiya,0
4640,2015-05-21,Babylon,Salahal Din,0
4634,2015-05-21,Babylon,Kirkuk,0
4625,2015-05-21,Anbar,Wassit,18
4624,2015-05-21,Anbar,Thi Qar,6
4623,2015-05-21,Anbar,Sulaymaniyah,114
4608,2015-05-21,Anbar,Anbar,11051
4609,2015-05-21,Anbar,Babylon,12
4610,2015-05-21,Anbar,Baghdad,1255
4611,2015-05-21,Anbar,Basrah,6
4612,2015-05-21,Anbar,Dahuk,21
4613,2015-05-21,Anbar,Diyala,0
4614,2015-05-21,Anbar,Erbil,309
4615,2015-05-21,Anbar,Kerbala,86
4616,2015-05-21,Anbar,Kirkuk,360
4617,2015-05-21,Anbar,Missan,18
4618,2015-05-21,Anbar,Muthanna,40
4619,2015-05-21,Anbar,Najaf,6
4620,2015-05-21,Anbar,Ninewa,0
4621,2015-05-21,Anbar,Qadissiya,37
4622,2015-05-21,Anbar,Salahal Din,8
4641,2015-05-21,Babylon,Sulaymaniyah,2
4642,2015-05-21,Babylon,Thi Qar,0
4626,2015-05-21,Babylon,Anbar,0
4644,2015-05-21,Baghdad,Anbar,0
4663,2015-05-21,Diyala,Babylon,0
4664,2015-05-21,Diyala,Baghdad,8
4665,2015-05-21,Diyala,Basrah,1
4666,2015-05-21,Diyala,Dahuk,0
4667,2015-05-21,Diyala,Diyala,0
4668,2015-05-21,Diyala,Erbil,0
4662,2015-05-21,Diyala,Anbar,0
4669,2015-05-21,Diyala,Kerbala,5
4671,2015-05-21,Diyala,Missan,0
4672,2015-05-21,Diyala,Muthanna,0
4673,2015-05-21,Diyala,Najaf,0
4674,2015-05-21,Diyala,Ninewa,0
4675,2015-05-21,Diyala,Qadissiya,0
4643,2015-05-21,Babylon,Wassit,0
4670,2015-05-21,Diyala,Kirkuk,13
4661,2015-05-21,Baghdad,Wassit,0
4676,2015-05-21,Diyala,Salahal Din,37
4659,2015-05-21,Baghdad,Sulaymaniyah,46
4660,2015-05-21,Baghdad,Thi Qar,0
4646,2015-05-21,Baghdad,Baghdad,11
4647,2015-05-21,Baghdad,Basrah,0
4648,2015-05-21,Baghdad,Dahuk,0
4649,2015-05-21,Baghdad,Diyala,0
4650,2015-05-21,Baghdad,Erbil,0
4651,2015-05-21,Baghdad,Kerbala,6
4645,2015-05-21,Baghdad,Babylon,0
4653,2015-05-21,Baghdad,Missan,0
4654,2015-05-21,Baghdad,Muthanna,0
4655,2015-05-21,Baghdad,Najaf,0
4656,2015-05-21,Baghdad,Ninewa,0
4657,2015-05-21,Baghdad,Qadissiya,0
4658,2015-05-21,Baghdad,Salahal Din,8
4652,2015-05-21,Baghdad,Kirkuk,0
5379,2015-06-04,Baghdad,Sulaymaniyah,0
5378,2015-06-04,Baghdad,Salahal Din,0
5377,2015-06-04,Baghdad,Qadissiya,0
5376,2015-06-04,Baghdad,Ninewa,0
5375,2015-06-04,Baghdad,Najaf,0
5366,2015-06-04,Baghdad,Baghdad,0
5374,2015-06-04,Baghdad,Muthanna,0
5371,2015-06-04,Baghdad,Kerbala,6
5372,2015-06-04,Baghdad,Kirkuk,0
5370,2015-06-04,Baghdad,Erbil,0
