Date,death,gov
2018-10-16,2,Baghdad
2018-10-17,2,Baghdad
2018-10-18,1,Baghdad
2018-10-19,1,Baghdad
2018-10-20,2,Baghdad
2018-10-21,4,Baghdad
2018-10-22,1,Baghdad
2018-10-23,2,Baghdad
2018-10-24,1,Baghdad
2018-10-25,1,Baghdad
2018-10-26,2,Baghdad
2018-10-27,2,Baghdad
2018-10-28,2,Baghdad
2018-10-29,3,Baghdad
2018-10-30,2,Baghdad
2018-11-02,1,Baghdad
2018-11-03,2,Baghdad
2018-11-04,8,Baghdad
2018-11-05,1,Baghdad
2018-11-08,2,Baghdad
2018-11-09,1,Baghdad
2018-11-10,2,Baghdad
2018-11-11,2,Baghdad
2018-11-12,3,Baghdad
2018-11-14,2,Baghdad
2018-11-15,1,Baghdad
2018-11-17,1,Baghdad
2018-11-18,2,Baghdad
2018-11-20,1,Baghdad
2018-11-21,1,Baghdad
2018-11-22,1,Baghdad
2018-11-24,2,Baghdad
2018-11-25,1,Baghdad
2018-11-27,3,Baghdad
2018-11-29,1,Baghdad
2018-11-30,1,Baghdad
2018-12-01,1,Baghdad
2018-12-02,1,Baghdad
2018-12-03,1,Baghdad
2018-12-05,3,Baghdad
2018-12-06,3,Baghdad
2018-12-07,1,Baghdad
2018-12-08,2,Baghdad
2018-12-09,1,Baghdad
2018-12-13,1,Baghdad
2018-12-14,4,Baghdad
2018-12-16,1,Baghdad
2018-12-17,3,Baghdad
2018-12-18,1,Baghdad
2018-12-19,1,Baghdad
2018-12-20,1,Baghdad
2018-12-22,2,Baghdad
2018-12-23,1,Baghdad
2018-12-24,1,Baghdad
2018-12-25,1,Baghdad
2018-12-27,1,Baghdad
2018-12-28,1,Baghdad
2018-12-29,2,Baghdad
2018-12-31,1,Baghdad
2017-01-17,1,Basrah
2017-01-18,1,Basrah
2017-01-19,1,Basrah
2017-01-23,1,Basrah
2017-02-08,1,Basrah
2017-02-15,2,Basrah
2017-02-18,1,Basrah
2017-02-19,1,Basrah
2017-02-20,1,Basrah
2017-02-28,1,Basrah
2017-03-05,1,Basrah
2017-03-08,1,Basrah
2017-03-27,1,Basrah
2017-04-03,1,Basrah
2017-04-13,1,Basrah
2017-04-14,1,Basrah
2017-04-15,1,Basrah
2017-04-18,2,Basrah
2017-05-02,1,Basrah
2017-05-17,2,Basrah
2017-05-19,9,Basrah
2017-05-20,13,Basrah
2017-05-24,1,Basrah
2017-06-05,1,Basrah
2017-06-28,1,Basrah
2017-07-01,1,Basrah
2017-07-08,4,Basrah
2017-07-25,1,Basrah
2017-07-26,1,Basrah
2017-07-28,2,Basrah
2017-08-08,1,Basrah
2017-08-10,1,Basrah
2017-08-18,1,Basrah
2017-08-30,1,Basrah
2017-09-07,17,Basrah
2017-09-10,17,Basrah
2017-09-19,1,Basrah
2017-10-01,2,Basrah
2017-10-19,2,Basrah
2017-10-29,1,Basrah
2017-10-30,1,Basrah
2017-10-31,60,Basrah
2017-11-01,2,Basrah
2017-11-07,1,Basrah
2017-11-13,1,Basrah
2017-11-15,1,Basrah
2017-11-18,1,Basrah
2017-11-21,1,Basrah
2017-11-22,1,Basrah
2017-11-28,1,Basrah
2017-12-04,1,Basrah
2017-12-05,1,Basrah
2017-12-09,1,Basrah
2017-12-11,5,Basrah
2017-12-13,2,Basrah
2017-12-14,2,Basrah
2017-12-19,5,Basrah
2017-12-21,1,Basrah
2017-12-29,1,Basrah
2018-01-07,1,Basrah
2018-01-09,1,Basrah
2018-01-10,1,Basrah
2018-01-11,4,Basrah
2018-01-12,2,Basrah
2018-01-13,2,Basrah
2018-01-18,1,Basrah
2018-01-20,1,Basrah
2018-01-22,2,Basrah
2018-01-24,1,Basrah
2018-01-25,2,Basrah
2018-01-27,3,Basrah
2018-02-06,1,Basrah
2018-02-10,2,Basrah
2018-02-16,1,Basrah
2018-02-18,19,Basrah
2018-02-25,2,Basrah
2018-03-04,1,Basrah
2018-03-09,1,Basrah
2018-03-10,1,Basrah
2018-03-11,1,Basrah
2018-03-17,9,Basrah
2018-03-18,1,Basrah
2018-04-02,2,Basrah
2018-04-03,21,Basrah
2018-04-06,2,Basrah
2018-04-15,1,Basrah
2018-04-16,1,Basrah
2018-04-23,1,Basrah
2018-04-30,1,Basrah
2018-05-08,1,Basrah
2018-05-13,3,Basrah
2018-05-14,1,Basrah
2018-05-17,1,Basrah
2018-05-22,4,Basrah
2018-06-12,1,Basrah
2018-06-15,1,Basrah
2018-06-18,1,Basrah
2018-06-19,1,Basrah
2018-07-08,2,Basrah
2018-07-12,1,Basrah
2018-07-15,3,Basrah
2018-07-18,2,Basrah
2018-07-19,1,Basrah
2018-07-21,3,Basrah
2018-07-23,1,Basrah
2018-07-25,1,Basrah
2018-07-28,3,Basrah
2018-07-30,1,Basrah
2018-08-01,1,Basrah
2018-08-03,1,Basrah
2018-08-14,2,Basrah
2018-08-15,1,Basrah
2018-08-16,1,Basrah
2018-08-17,1,Basrah
2018-08-19,2,Basrah
2018-08-21,1,Basrah
2018-08-22,1,Basrah
2018-08-24,1,Basrah
2018-09-03,1,Basrah
2018-09-04,5,Basrah
2018-09-05,1,Basrah
2018-09-06,2,Basrah
2018-09-07,7,Basrah
2018-09-08,7,Basrah
2018-09-20,1,Basrah
2018-09-22,1,Basrah
2018-09-23,6,Basrah
2018-09-25,1,Basrah
2018-09-28,1,Basrah
2018-09-29,1,Basrah
2018-10-02,1,Basrah
2018-10-04,1,Basrah
2018-10-06,1,Basrah
2018-10-08,4,Basrah
2018-10-09,2,Basrah
2018-10-10,1,Basrah
2018-10-12,1,Basrah
2018-10-15,1,Basrah
2018-10-29,1,Basrah
2018-11-01,2,Basrah
2018-11-07,1,Basrah
2018-11-10,1,Basrah
