fromGov,toGov,Date,numofFam,year,month,day,numofFamDiff
Anbar,Ninewa,2018-03-15,35,2018,3,15,0
Anbar,Qadissiya,2018-03-15,160,2018,3,15,-37
Anbar,Salah al-Din,2018-03-15,163,2018,3,15,0
Anbar,Sulaymaniyah,2018-03-15,6492,2018,3,15,-818
Anbar,Thi-Qar,2018-03-15,152,2018,3,15,-5
Anbar,Wassit,2018-03-15,237,2018,3,15,12
Baghdad,Baghdad,2018-03-15,104,2018,3,15,-6
Babylon,Anbar,2018-03-15,555,2018,3,15,0
Babylon,Baghdad,2018-03-15,994,2018,3,15,-11
Babylon,Basrah,2018-03-15,22,2018,3,15,0
Babylon,Diyala,2018-03-15,77,2018,3,15,0
Babylon,Kerbala,2018-03-15,169,2018,3,15,-2
Babylon,Kirkuk,2018-03-15,24,2018,3,15,4
Babylon,Missan,2018-03-15,7,2018,3,15,0
Babylon,Ninewa,2018-03-15,5,2018,3,15,0
Babylon,Qadissiya,2018-03-15,7,2018,3,15,-3
Babylon,Sulaymaniyah,2018-03-15,1357,2018,3,15,41
Babylon,Thi-Qar,2018-03-15,8,2018,3,15,1
Babylon,Wassit,2018-03-15,20,2018,3,15,0
Baghdad,Anbar,2018-03-15,24,2018,3,15,0
Babylon,Babylon,2018-03-15,2436,2018,3,15,0
Anbar,Diyala,2018-03-15,261,2018,3,15,0
Erbil,Erbil,2018-03-15,1244,2018,3,15,0
Kirkuk,Anbar,2018-03-15,40,2018,3,15,0
Ninewa,Qadissiya,2018-03-15,1822,2018,3,15,-71
Ninewa,Salah al-Din,2018-03-15,818,2018,3,15,-69
Ninewa,Sulaymaniyah,2018-03-15,2437,2018,3,15,-35
Ninewa,Thi-Qar,2018-03-15,597,2018,3,15,-6
Ninewa,Wassit,2018-03-15,1467,2018,3,15,-23
Salah al-Din,Anbar,2018-03-15,45,2018,3,15,0
Salah al-Din,Babylon,2018-03-15,68,2018,3,15,0
Salah al-Din,Baghdad,2018-03-15,1555,2018,3,15,-80
Salah al-Din,Basrah,2018-03-15,422,2018,3,15,-10
Salah al-Din,Dahuk,2018-03-15,63,2018,3,15,0
Salah al-Din,Diyala,2018-03-15,3436,2018,3,15,9
Salah al-Din,Erbil,2018-03-15,3759,2018,3,15,-150
Ninewa,Ninewa,2018-03-15,112851,2018,3,15,-487
Salah al-Din,Kerbala,2018-03-15,23,2018,3,15,-3
Salah al-Din,Missan,2018-03-15,65,2018,3,15,0
Salah al-Din,Muthanna,2018-03-15,28,2018,3,15,-4
Salah al-Din,Najaf,2018-03-15,12,2018,3,15,-7
Salah al-Din,Ninewa,2018-03-15,761,2018,3,15,0
Salah al-Din,Qadissiya,2018-03-15,27,2018,3,15,0
Salah al-Din,Salah al-Din,2018-03-15,28252,2018,3,15,-571
Salah al-Din,Sulaymaniyah,2018-03-15,9315,2018,3,15,185
Salah al-Din,Thi-Qar,2018-03-15,52,2018,3,15,0
Anbar,Basrah,2018-03-15,276,2018,3,15,0
Anbar,Baghdad,2018-03-15,14429,2018,3,15,-865
Anbar,Babylon,2018-03-15,259,2018,3,15,-22
Anbar,Anbar,2018-03-15,13819,2018,3,15,-482
Salah al-Din,Kirkuk,2018-03-15,4586,2018,3,15,-69
Erbil,Ninewa,2018-03-15,96,2018,3,15,0
Ninewa,Najaf,2018-03-15,6269,2018,3,15,-682
Ninewa,Missan,2018-03-15,293,2018,3,15,-6
